SampleID,Date,TimeLocal,Location,Site,Latitude,Longitude,Elevation,Color,SnowDepth,SnowDensity,CellDensity,CellLength,Astaxanthin,Lutein,ChlB,ChlA,BetaC,Pheophorbide,Pheophytin,F,Fo,Cl,NO2,NO3,PO43,SO42,WildlifeScoringIndex,OceanicInfluenceScoringIndex,RocksDustScoringIndex
2025-02-16-PC-algae1,2/16/2025,10:30:00,Antarctic Peninsula,"Pendulum Cove, Deception Island",-62.93738,-60.5945,21,clean,2,197.33,0,0,0,0,0,1.270695214,0,0.977963083,6.529570671,0,0.220216648,4.338411981,0,0.313604342,0,0.953294168,1,2,3
2025-02-16-PC-algae2,2/16/2025,10:53:00,Antarctic Peninsula,"Pendulum Cove, Deception Island",-62.9371,-60.59389,30.2,clean,20,197.33,0,0,0,0,0,0,0,1.095005495,10.22844888,0,0.172490125,8.215371473,0,0.308184183,0,1.189939348,1,2,2
2025-02-16-PC-algae3,2/16/2025,11:15:00,Antarctic Peninsula,"Pendulum Cove, Deception Island",-62.93453,-60.5951,25.6,clean,5,197.33,0,0,0,0,0,0.480840569,0,1.128617675,13.94829881,0.041922862,0.312192261,2.041945944,0,0.317110155,0,0.754084732,1,2,3
2025-02-19-SI-algae1,2/19/2025,13:51:00,Antarctic Peninsula,Stonington Island,-68.18545,-66.99881,6,green,130,917,446673,16.623,76.99432228,1812.249361,2061.750381,4036.058251,942.5293725,218.8453814,1282.178181,0,0,29.11465818,0,0.337188467,6.998629841,1.45662732,3,4,2
2025-02-19-SI-algae2,2/19/2025,14:10:00,Antarctic Peninsula,Stonington Island,-68.18539,-66.99913,7,red,130,374,183820,18.819,12.53037278,152.1658511,117.9205068,225.6904663,18.63790508,23.04868639,79.94782447,0,0.149729898,2.504842593,0,0.486709852,0.078403396,0.712856638,3,4,2
2025-02-19-SI-algae3,2/19/2025,14:33:00,Antarctic Peninsula,Stonington Island,-68.18518,-67.0023,5,green,6,917,0,0,0,988.4859289,1198.121696,2605.556774,387.3926886,35.78336623,881.2082309,0,0,84.93990683,0,0.366301528,0.268067655,6.989878605,4,4,4
2025-02-19-SI-algae4,2/19/2025,14:47:00,Antarctic Peninsula,Stonington Island,-68.18455,-67.00294,8,red,80,374,19998,15.35,0.158747183,99.1759623,59.08109628,123.9069968,171.7392345,9.882668173,48.67601806,0,0.222435916,3.483145935,0.076377474,0.320043445,0.076321545,0.755504483,3,3,4
2025-02-19-SI-algae5,2/19/2025,15:10:00,Antarctic Peninsula,Stonington Island,-68.18422,-66.99993,9,clean,20,374,0,0,0,0,19.90166404,31.33903024,13.87958174,2.848652128,26.51156944,0,0.19147835,4.7551576,0.158661152,0.486959936,0,0.936612542,1,2,2
2025-02-19-SI-algae6,2/19/2025,15:36:00,Antarctic Peninsula,Stonington Island,-68.1855,-66.99638,12,green,35,917,13433,15.275,0,378.4915106,762.9400321,1261.888134,494.0537777,35.93122587,430.3803369,0,0.237193955,21.59148363,0.206289109,0.507441838,0.194738853,2.476759957,3,1,4
2025-02-19-SI-algae7,2/19/2025,16:00:00,Antarctic Peninsula,Stonington Island,-68.18575,-66.99792,6,green,50,917,1151400,13.608,0,2784.106786,3486.686562,7298.221851,4016.800178,416.9140469,3700.514116,0,0.009885021,29.41403501,0.214590337,0.369023499,6.414520524,2.44065421,4,4,4
2025-02-21-HI-algae1,2/21/2025,13:15:00,Antarctic Peninsula,Horseshoe Island,-67.8087,-67.29562,14,red,9,496,488335,21.632,135.6653422,595.6811221,537.5574589,1246.044005,161.0699226,16.1284571,341.0397166,0,0.565551112,1.317665964,0,0.311247473,0.130211769,0.707781435,4,4,4
